iter	RMSE
0	1.166111761
1	1.157338129
2	1.149375334
3	1.143584636
4	1.137840189
5	1.133359407
6	1.129917473
7	1.126579883
8	1.124169771
9	1.121744829
10	1.120081434
11	1.118353111
12	1.116813346
13	1.115507943
14	1.114340809
15	1.113355748
16	1.11243165
17	1.11158999
18	1.110853485
19	1.110440701
20	1.109869901
21	1.109363871
22	1.108961838
23	1.108503946
24	1.10821141
25	1.107757758
26	1.1074536
27	1.107014175
28	1.106676427
29	1.106283858
30	1.105889813
31	1.105638702
32	1.105406434
33	1.105276212
34	1.105084743
35	1.104662531
36	1.104307646
37	1.104055709
38	1.103653748
39	1.103513094
40	1.103328998
41	1.103076293
42	1.102846434
43	1.102662606
44	1.102392927
45	1.102127426
46	1.101894698
47	1.101609689
48	1.101479775
49	1.101187416
50	1.100919986
51	1.100762988
52	1.100585778
53	1.100432451
54	1.100059927
55	1.09990742
56	1.099717328
57	1.09961645
58	1.099392358
59	1.099279177
60	1.099050183
61	1.098929785
62	1.098759495
63	1.098573235
64	1.098289531
65	1.098150103
66	1.097943346
67	1.097742473
68	1.097536754
69	1.097298907
70	1.097108467
71	1.097005505
72	1.096773388
73	1.096551089
74	1.096196888
75	1.096098837
76	1.095954499
77	1.09570232
78	1.095508906
79	1.095352342
80	1.095256389
81	1.095140901
82	1.094990057
83	1.094870849
84	1.094782436
85	1.094547848
86	1.094380124
87	1.094142568
88	1.094001805
89	1.093824227
90	1.093688052
91	1.09352238
92	1.093400515
93	1.093103501
94	1.092884102
95	1.092673309
96	1.092393768
97	1.092119688
98	1.091906991
99	1.091769185
100	1.091638844
101	1.091441974
102	1.091343172
103	1.091116041
104	1.090830684
105	1.090566605
106	1.090362951
107	1.090304707
108	1.090067999
109	1.090017125
110	1.089929385
111	1.089723222
112	1.089523929
113	1.089323396
114	1.089158588
115	1.089015213
116	1.088886422
117	1.088749828
118	1.088540472
119	1.08841381
120	1.088327296
121	1.088118603
122	1.08786306
123	1.087612006
124	1.08740369
125	1.087142089
126	1.086952455
127	1.086756304
128	1.08650798
129	1.086181793
130	1.086097886
131	1.086058336
132	1.085893685
133	1.085646197
134	1.085409929
135	1.085271289
136	1.085149315
137	1.084903584
138	1.084565158
139	1.084426197
140	1.084283297
141	1.084036293
142	1.083820652
143	1.083656971
144	1.083452271
145	1.083210701
146	1.082978688
147	1.082811115
148	1.082679862
149	1.082538542
150	1.082271184
151	1.081984877
152	1.081888556
153	1.081684672
154	1.081426821
155	1.08122906
156	1.081057969
157	1.080863716
158	1.080705918
159	1.080590066
160	1.080512252
161	1.080298738
162	1.080128518
163	1.079966761
164	1.079705811
165	1.079458276
166	1.079271949
167	1.079060041
168	1.078867141
169	1.078676811
170	1.078457515
171	1.078226985
172	1.077997863
173	1.077765922
174	1.077551935
175	1.077271445
176	1.077103005
177	1.076955785
178	1.076814764
179	1.076751181
180	1.076509205
181	1.076329401
182	1.076048222
183	1.075871364
184	1.075767218
185	1.075589738
186	1.075383596
187	1.075177044
188	1.075046131
189	1.074799432
190	1.074594454
191	1.074418348
192	1.074208234
193	1.074035282
194	1.07381311
195	1.073685827
196	1.073493952
197	1.073337465
198	1.073179307
199	1.073043104
200	1.072950809
201	1.072811748
202	1.072595795
203	1.07246313
204	1.072188429
205	1.071987053
206	1.07185289
207	1.071592892
208	1.071350196
209	1.071066394
210	1.070898532
211	1.070701768
212	1.070466992
213	1.070304547
214	1.070129995
215	1.070077612
216	1.069867481
217	1.069624728
218	1.069443215
219	1.069231632
220	1.069002931
221	1.068943028
222	1.068854261
223	1.068621181
224	1.068402912
225	1.068159337
226	1.068028904
227	1.067839011
228	1.067711194
229	1.067451762
230	1.067246866
231	1.067043813
232	1.06693752
233	1.066878552
234	1.066642941
235	1.066477579
236	1.066441053
237	1.066267076
238	1.066223159
239	1.066049186
240	1.06582427
241	1.065785645
242	1.065510348
243	1.065296441
244	1.06510819
245	1.065003158
246	1.064896867
247	1.064693757
248	1.064648098
249	1.064462923
250	1.064294809
251	1.064066835
252	1.063882856
253	1.063728698
254	1.063596399
255	1.063376602
256	1.063099095
257	1.062855351
258	1.062667952
259	1.062543837
260	1.062346792
261	1.06212306
262	1.061949489
263	1.061784522
264	1.061668881
265	1.061497832
266	1.061304925
267	1.061101362
268	1.0610716
269	1.060870278
270	1.060642831
271	1.060509581
272	1.06035917
273	1.060163514
274	1.05997622
275	1.05990625
276	1.059726362
277	1.059515939
278	1.059314562
279	1.059084246
280	1.058909859
281	1.058681163
282	1.058505922
283	1.058277756
284	1.05815291
285	1.057992465
286	1.057897349
287	1.057764056
288	1.057582399
289	1.057393588
290	1.057202563
291	1.057043561
292	1.056817902
293	1.056554486
294	1.056464337
295	1.056249017
296	1.056052047
297	1.055910632
298	1.055776907
299	1.055551447
300	1.055389197
301	1.055301175
302	1.055261871
303	1.055101081
304	1.054917044
305	1.054744514
306	1.054569953
307	1.054496861
308	1.05426245
309	1.054088338
310	1.053938832
311	1.053710796
312	1.053523508
313	1.053410482
314	1.053199511
315	1.053032549
316	1.052830954
317	1.052685383
318	1.0525093
319	1.052383905
320	1.052213841
321	1.052048372
322	1.051924596
323	1.051702996
324	1.051518902
325	1.051434799
