iter	Passed	Remaining
0	2	686
1	3	524
2	4	453
3	5	451
4	7	467
5	9	491
6	10	499
7	13	523
8	15	555
9	17	563
10	19	569
11	21	564
12	22	546
13	24	542
14	27	572
15	30	590
16	32	583
17	33	573
18	34	564
19	36	554
20	38	554
21	39	550
22	41	541
23	43	541
24	43	529
25	44	518
26	47	525
27	50	534
28	51	531
29	53	529
30	55	529
31	57	525
32	58	516
33	59	508
34	60	504
35	62	501
36	64	504
37	66	504
38	67	500
39	69	496
40	70	492
41	72	490
42	74	492
43	75	486
44	77	481
45	78	476
46	79	471
47	81	470
48	83	471
49	84	465
50	86	465
51	87	460
52	88	456
53	89	452
54	91	451
55	93	450
56	94	445
57	95	442
58	97	439
59	99	439
60	100	436
61	101	431
62	102	428
63	104	427
64	106	427
65	108	429
66	110	426
67	113	429
68	114	426
69	115	422
70	116	418
71	117	415
72	122	423
73	124	423
74	128	428
75	131	432
76	133	432
77	135	430
78	137	428
79	138	426
80	140	423
81	141	420
82	142	416
83	143	414
84	145	412
85	146	408
86	147	405
87	148	402
88	150	400
89	151	397
90	152	394
91	154	392
92	155	389
93	156	386
94	158	385
95	160	384
96	164	387
97	165	384
98	166	381
99	167	378
100	168	375
101	170	373
102	171	371
103	172	368
104	174	366
105	175	363
106	177	362
107	179	361
108	180	359
109	182	357
110	183	355
111	184	353
112	186	350
113	187	348
114	189	347
115	190	344
116	191	342
117	192	339
118	193	337
119	195	335
120	197	333
121	198	331
122	199	329
123	200	326
124	201	323
125	202	321
126	203	319
127	206	318
128	207	317
129	208	315
130	209	312
131	210	309
132	212	307
133	213	305
134	214	303
135	215	300
136	216	298
137	217	296
138	218	294
139	220	292
140	220	289
141	222	287
142	223	286
143	225	285
144	227	283
145	228	281
146	229	279
147	230	277
148	232	276
149	233	274
150	235	272
151	236	270
152	237	268
153	238	266
154	240	265
155	242	264
156	244	263
157	245	261
158	247	259
159	248	257
160	249	255
161	251	254
162	252	252
163	253	250
164	254	248
165	255	246
166	256	244
167	257	242
168	258	240
169	260	238
170	261	237
171	262	235
172	264	233
173	265	231
174	266	229
175	268	228
176	269	227
177	271	225
178	272	223
179	272	221
180	274	220
181	276	218
182	277	216
183	278	214
184	280	213
185	281	211
186	282	210
187	283	208
188	286	207
189	287	205
190	288	203
191	290	202
192	291	200
193	292	199
194	293	197
195	295	196
196	297	194
197	298	193
198	300	191
199	301	190
200	302	188
201	305	187
202	307	186
203	308	184
204	310	183
205	312	181
206	313	180
207	315	178
208	316	177
209	317	175
210	318	173
211	320	172
212	321	170
213	322	168
214	323	167
215	325	165
216	326	164
217	327	162
218	328	160
219	330	159
220	331	157
221	332	155
222	334	154
223	335	152
224	336	151
225	337	149
226	339	147
227	340	146
228	342	144
229	343	143
230	345	141
231	346	140
232	348	139
233	350	137
234	351	136
235	352	134
236	354	133
237	357	132
238	358	130
239	360	129
240	363	128
241	365	126
242	366	125
243	368	123
244	374	123
245	377	122
246	379	121
247	383	120
248	387	119
249	390	118
250	397	118
251	401	117
252	405	116
253	406	115
254	411	114
255	415	113
256	417	112
257	418	110
258	420	108
259	421	106
260	429	106
261	432	105
262	434	104
263	436	102
264	438	100
265	443	100
266	446	98
267	448	97
268	450	95
269	452	93
270	454	92
271	457	90
272	459	89
273	461	87
274	463	86
275	466	84
276	470	83
277	472	81
278	474	79
279	477	78
280	480	76
281	482	75
282	485	73
283	487	72
284	489	70
285	490	68
286	494	67
287	497	65
288	501	64
289	504	62
290	507	60
291	510	59
292	513	57
293	515	56
294	517	54
295	518	52
296	520	50
297	522	49
298	524	47
299	525	45
300	528	43
301	531	42
302	534	40
303	535	38
304	537	37
305	540	35
306	543	33
307	547	32
308	550	30
309	552	28
310	555	26
311	556	24
312	558	23
313	562	21
314	566	19
315	568	17
316	571	16
317	572	14
318	574	12
319	575	10
320	578	9
321	579	7
322	581	5
323	583	3
324	585	1
325	586	0
